Ngày,KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND)
06/17/2024,41.876.041,"1.372.472.838,90",66.236.468,"2.236.829.756,77",5.921.100,"230.660.609,60",4.951.100,"162.244.209,60"
06/14/2024,44.154.608,"1.688.616.446,05",61.895.049,"2.278.347.162,68",5.147.111,"208.116.582,30",5.174.111,"208.832.082,30"
06/13/2024,42.237.683,"1.391.918.318,45",65.047.577,"2.638.308.644,90",6.612.100,"210.180.267,10",9.650.800,"361.942.302,90"
06/12/2024,44.423.112,"1.502.457.694,30",51.563.373,"2.105.636.882,67",6.031.306,"260.236.144,90",7.149.905,"243.037.967,15"
06/11/2024,27.661.360,"935.807.898,85",73.131.248,"2.713.259.926,95",7.844.842,"163.152.699,20",11.844.437,"259.817.823,70"
06/10/2024,30.058.096,"1.087.867.140,95",68.257.386,"2.216.296.611,25",3.167.700,"120.947.078,70",2.899.501,"96.026.676,90"
06/07/2024,27.592.627,"1.038.239.228,85",39.218.166,"1.427.145.855,30",4.159.300,"143.723.166,60",7.160.727,"214.755.793,95"
06/06/2024,36.423.347,"1.179.435.850,45",48.517.837,"1.850.175.127,95",9.333.299,"508.563.391,50",11.714.847,"559.098.663,80"
06/05/2024,41.328.651,"1.577.481.160,40",39.136.569,"1.571.672.779,22",9.941.100,"227.674.105,50",2.302.222,"71.147.320,10"
06/04/2024,42.944.151,"1.559.226.896,10",52.252.622,"1.710.165.678,80",25.772.800,"497.460.584,00",3.803.608,"145.224.324,45"
06/03/2024,52.370.626,"1.604.281.913,55",50.922.429,"1.881.038.584,88",1.862.800,"62.263.940,80",2.563.588,"62.677.348,55"
05/31/2024,30.693.675,"1.065.615.510,10",53.355.571,"1.869.562.314,85",13.608.500,"240.231.118,60",18.345.681,"730.583.326,20"
05/30/2024,41.689.302,"1.343.574.029,15",82.108.937,"2.759.616.769,19",4.156.166,"120.642.930,00",1.039.737,"36.864.975,50"
