Ngày,Tổng KL mua (CP),Tổng GT mua (nghìn VND),Tổng KL bán (CP),Tổng GT bán (nghìn VND),Tổng KL ròng (CP),Tổng GT ròng (nghìn VND)
05/09/2024,42.697.115,"1.425.987.448,15",83.280.182,"3.109.395.705,12",-40.583.067,"-1.683.408.256,97"
05/08/2024,69.613.266,"1.996.040.270,90",94.109.116,"3.124.003.064,80",-24.495.850,"-1.127.962.793,90"
05/07/2024,42.404.885,"1.627.487.985,30",44.415.460,"1.492.716.755,78",-2.010.575,"134.771.229,52"
05/06/2024,61.976.856,"1.629.619.558,60",41.421.319,"1.285.615.280,10",20.555.537,"344.004.278,50"
05/03/2024,43.817.603,"1.835.123.617,40",38.948.106,"1.289.355.454,70",4.869.497,"545.768.162,70"
05/02/2024,33.576.014,"1.661.060.695,80",70.637.987,"2.534.149.960,28",-37.061.973,"-873.089.264,48"
04/26/2024,51.365.749,"2.192.151.892,75",58.434.471,"2.093.358.598,93",-7.068.722,"98.793.293,82"
04/25/2024,71.569.158,"2.184.803.448,96",66.890.758,"2.332.270.834,31",4.678.400,"-147.467.385,35"
04/24/2024,88.193.932,"2.461.100.274,68",84.793.094,"2.665.156.649,04",3.400.838,"-204.056.374,36"
04/23/2024,50.136.257,"1.701.775.557,25",67.315.412,"2.023.220.905,49",-17.179.155,"-321.445.348,24"
04/22/2024,65.742.460,"1.928.218.121,05",72.718.991,"2.187.887.021,65",-6.976.531,"-259.668.900,60"
04/19/2024,98.124.450,"2.894.861.716,85",78.928.487,"2.265.862.147,95",19.195.963,"628.999.568,90"
04/17/2024,46.228.601,"1.590.570.604,95",90.825.283,"2.648.626.946,92",-44.596.682,"-1.058.056.341,97"
04/16/2024,102.089.102,"2.796.481.041,80",97.843.936,"2.743.421.853,55",4.245.166,"53.059.188,25"
04/15/2024,65.902.928,"1.820.784.677,25",102.238.145,"3.109.957.395,25",-36.335.217,"-1.289.172.718,00"
04/12/2024,243.664.399,"7.021.845.557,60",262.855.678,"7.819.000.689,75",-19.191.279,"-797.155.132,15"
04/11/2024,56.652.054,"1.677.895.974,55",47.358.973,"1.567.040.723,06",9.293.081,"110.855.251,49"
04/10/2024,49.058.887,"1.618.439.163,00",69.837.857,"2.195.000.783,20",-20.778.970,"-576.561.620,20"
04/09/2024,50.629.129,"1.739.161.005,90",45.310.398,"1.511.126.025,86",5.318.731,"228.034.980,04"
04/08/2024,42.323.298,"1.365.374.927,85",49.441.002,"1.521.636.893,75",-7.117.704,"-156.261.965,90"
04/05/2024,69.707.512,"1.923.609.595,40",58.542.460,"1.835.609.769,50",11.165.052,"87.999.825,90"
04/04/2024,61.956.575,"2.109.312.932,78",54.785.896,"1.673.734.138,66",7.170.679,"435.578.794,12"
04/03/2024,55.390.112,"1.751.088.712,80",84.076.894,"2.976.599.380,60",-28.686.782,"-1.225.510.667,80"
04/02/2024,78.546.013,"2.626.138.457,85",91.868.415,"3.322.922.087,30",-13.322.402,"-696.783.629,45"
04/01/2024,58.694.705,"1.992.268.718,35",77.245.538,"2.711.356.977,44",-18.550.833,"-719.088.259,09"
03/29/2024,34.091.160,"1.271.566.261,90",60.197.322,"2.136.726.493,25",-26.106.162,"-865.160.231,35"
03/28/2024,88.197.183,"2.836.137.265,90",131.337.551,"4.158.223.266,07",-43.140.368,"-1.322.086.000,17"
03/27/2024,61.525.138,"2.989.581.871,60",99.662.583,"4.789.870.486,15",-38.137.445,"-1.800.288.614,55"
03/26/2024,52.175.041,"1.716.726.766,90",60.200.873,"1.872.023.839,35",-8.025.832,"-155.297.072,45"
03/25/2024,52.921.154,"1.396.155.206,00",63.904.135,"2.060.624.253,80",-10.982.981,"-664.469.047,80"
03/22/2024,201.239.743,"5.879.250.094,30",211.776.232,"6.323.687.263,10",-10.536.489,"-444.437.168,80"
03/21/2024,71.349.259,"1.983.829.822,90",63.595.024,"2.247.769.509,70",7.754.235,"-263.939.686,80"
