Ngày,KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND)
09/10/2024,479.331.623,"11.611.977.580,48",457.945.012,"11.224.735.377,09",74.555.067,"1.325.979.070,24",75.824.131,"1.352.224.069,55"
09/09/2024,344.799.608,"8.471.393.425,75",321.486.806,"7.736.766.843,02",52.764.388,"1.099.977.089,85",47.944.651,"955.243.325,80"
09/06/2024,385.801.598,"9.302.110.969,22",408.568.047,"10.308.837.782,17",72.058.100,"1.974.522.337,32",62.878.217,"1.574.454.565,55"
09/05/2024,474.365.285,"12.517.777.396,63",451.006.753,"11.862.028.624,77",12.981.348,"344.773.211,36",11.384.498,"314.354.853,72"
09/04/2024,487.037.522,"11.809.131.056,47",446.578.958,"10.688.042.317,51",40.178.703,"1.233.439.803,07",45.355.653,"1.341.981.651,85"
08/30/2024,391.315.014,"9.261.129.883,84",408.197.860,"10.117.165.991,22",24.379.897,"625.038.601,44",53.084.578,"1.260.756.123,77"
08/29/2024,454.304.226,"10.244.430.005,41",442.991.894,"10.278.321.695,35",40.782.829,"723.386.303,71",36.907.404,"664.729.578,19"
08/28/2024,562.640.753,"12.893.516.932,88",544.014.307,"12.543.333.466,09",45.040.543,"1.111.156.158,41",42.707.291,"1.087.769.683,03"
08/27/2024,476.876.406,"12.239.188.788,36",475.202.716,"12.489.410.088,32",47.106.993,"1.302.048.926,80",32.765.630,"1.083.647.632,90"
08/26/2024,573.144.976,"14.232.228.864,23",558.436.929,"14.094.635.086,45",61.316.932,"1.254.532.677,58",59.833.903,"1.313.232.119,95"
08/23/2024,528.059.264,"12.040.854.785,61",525.463.851,"12.336.614.803,60",52.910.301,"1.421.269.287,05",61.594.670,"1.908.469.372,54"
08/22/2024,487.807.860,"11.819.355.359,08",461.218.492,"11.533.119.521,79",41.017.704,"796.340.749,70",33.840.175,"728.440.598,85"
08/21/2024,580.635.775,"14.740.907.362,84",556.554.132,"14.454.632.541,15",56.682.179,"1.358.823.245,53",88.421.894,"2.227.074.738,18"
08/20/2024,637.278.804,"15.277.387.844,48",647.275.229,"15.664.848.217,68",29.391.722,"781.499.069,72",29.872.105,"766.596.410,20"
08/19/2024,501.100.221,"12.477.533.044,06",490.073.429,"12.256.488.677,10",72.730.514,"1.973.173.304,16",73.338.929,"1.975.343.207,54"
08/16/2024,747.190.205,"18.042.761.554,88",749.783.656,"18.103.156.528,96",42.988.245,"1.386.394.978,69",30.823.056,"1.008.584.563,25"
08/15/2024,329.009.955,"7.840.698.642,89",336.848.680,"8.319.775.072,42",47.907.308,"1.053.450.705,17",41.714.979,"954.483.945,03"
08/14/2024,340.923.014,"8.554.115.457,30",337.351.965,"8.763.342.658,38",39.888.795,"1.224.818.724,57",54.721.303,"1.791.224.174,10"
08/13/2024,372.116.797,"9.046.202.081,14",372.988.988,"9.420.211.397,38",29.462.952,"851.521.421,57",46.613.907,"1.281.309.317,53"
08/12/2024,386.417.704,"9.836.884.407,98",374.136.859,"9.694.756.522,72",39.490.775,"1.492.144.611,90",50.548.744,"1.588.874.636,93"
08/09/2024,424.473.681,"10.083.279.231,09",433.257.330,"10.686.703.554,52",34.944.067,"1.264.620.678,67",32.714.183,"935.000.130,80"
08/08/2024,517.023.509,"11.485.432.264,56",467.658.407,"10.494.271.910,11",51.860.671,"1.539.075.492,04",81.986.594,"1.885.689.057,55"
08/07/2024,398.773.212,"9.501.942.410,37",331.187.260,"7.878.633.353,05",39.472.537,"1.205.388.605,75",82.871.701,"2.072.097.880,50"
08/06/2024,445.699.815,"10.476.819.828,09",461.671.427,"10.931.878.652,20",42.617.074,"1.371.698.066,62",26.838.132,"697.067.913,20"
08/05/2024,760.874.163,"17.414.261.062,24",724.079.970,"16.843.446.152,09",67.733.926,"1.767.819.297,11",66.577.913,"1.753.628.968,81"
08/02/2024,493.676.843,"11.934.397.866,94",515.167.800,"12.504.787.727,04",21.056.196,"460.018.873,15",20.717.283,"497.304.353,05"
08/01/2024,663.604.736,"15.938.256.665,13",686.454.862,"17.100.178.962,62",22.015.143,"427.424.402,17",20.643.402,"409.743.153,35"
07/31/2024,548.335.238,"12.499.968.028,77",536.267.255,"12.650.112.562,40",53.394.641,"1.881.727.759,10",34.214.250,"924.078.630,90"
07/30/2024,506.594.981,"10.689.593.318,58",491.149.026,"10.474.442.713,92",40.593.588,"893.105.220,80",43.484.474,"944.997.566,95"
07/29/2024,375.589.608,"8.920.456.999,81",369.179.344,"8.721.961.957,49",27.087.167,"758.283.830,99",22.309.050,"723.553.418,48"
07/26/2024,337.379.576,"8.416.821.158,31",320.687.729,"8.027.888.668,34",23.418.340,"769.494.227,62",32.108.001,"1.209.602.162,42"
07/25/2024,339.306.867,"8.255.160.226,33",315.709.584,"7.708.117.357,83",24.864.731,"919.010.340,53",24.789.453,"894.985.710,90"
07/24/2024,495.725.791,"12.185.856.575,02",541.135.928,"13.531.362.740,53",64.961.221,"1.523.483.174,79",55.149.779,"1.273.355.804,35"
07/23/2024,525.668.298,"13.019.599.926,09",537.973.412,"13.714.908.175,13",59.070.173,"1.719.300.697,47",55.290.151,"1.657.249.380,57"
07/22/2024,673.059.403,"15.701.058.315,35",699.673.624,"16.584.924.348,69",48.198.408,"1.300.661.331,56",78.191.747,"1.698.195.331,76"
07/19/2024,621.491.464,"15.235.005.261,10",598.227.180,"14.410.752.348,60",21.666.216,"522.302.142,47",40.669.043,"659.592.227,70"
07/18/2024,519.595.106,"13.492.405.070,02",506.664.890,"12.755.005.559,17",24.433.379,"721.088.203,85",24.105.715,"707.353.492,05"
07/17/2024,982.350.303,"24.255.889.094,10",944.495.581,"23.790.043.116,86",28.352.472,"597.410.564,30",41.628.396,"880.483.264,75"
07/16/2024,530.137.809,"12.990.558.111,75",515.168.057,"12.722.131.285,04",38.661.789,"771.024.076,65",42.090.319,"837.745.870,70"
07/15/2024,390.475.102,"9.659.932.883,79",366.454.035,"8.872.457.086,31",46.462.456,"1.286.688.486,96",51.881.809,"1.300.136.548,58"
07/12/2024,448.207.140,"11.870.381.043,48",431.265.725,"11.255.721.217,49",43.470.446,"1.055.254.146,46",41.698.674,"908.607.901,29"
