Ngày,KL ròng khớp lệnh (CP),GT ròng khớp lệnh (nghìn VND)
11/04/2022,"-257.400,00","-21.245.055,00"
11/03/2022,"23.900,00","457.685,00"
11/02/2022,"-20.000,00","-2.092.960,00"
11/01/2022,"-585.000,00","-50.017.500,00"
10/31/2022,"24.200.000,00","356.197.600,00"
10/28/2022,"-74.391.100,00","-3.335.613.387,90"
10/27/2022,"19.800,00","1.620.600,00"
10/26/2022,"118.988,00","9.229.203,55"
10/25/2022,"20.700,00","1.449.000,00"
10/24/2022,"-481.700,00","-36.946.390,00"
10/21/2022,"-921.400,00","-7.642.040,00"
10/20/2022,"-560.000,00","22.081.080,00"
10/19/2022,"-300.000,00","-24.600.000,00"
10/18/2022,"12.200,00","-167.400,00"
10/17/2022,"-113.800,00","-7.704.260,00"
10/14/2022,"-45.600,00","-3.380.829,60"
10/13/2022,"282.900,00","8.480.189,40"
10/12/2022,"165.492,00","5.305.557,80"
10/11/2022,"166.200,00","11.842.570,00"
10/10/2022,"2.251.200,00","194.645.892,70"
10/07/2022,"-5.000,00","1.183.180,00"
10/06/2022,"3.927.700,00","94.118.596,00"
10/05/2022,"2.786.900,00","82.846.750,00"
10/04/2022,"6.484.100,00","122.939.380,00"
10/03/2022,"2.835.000,00","75.480.620,00"
09/30/2022,"11.719.540,00","131.129.280,00"
09/29/2022,"4.473.500,00","33.663.797,80"
09/28/2022,"380.000,00","33.157.400,00"
09/27/2022,"-221.200,00","-3.349.250,00"
09/26/2022,"4.530.000,00","111.869.000,00"
09/23/2022,"-3.250.000,00","-101.145.000,00"
09/22/2022,"-878.700,00","-79.206.250,00"
09/21/2022,"1.250.000,00","25.219.300,00"
09/20/2022,"1.950.000,00","39.051.800,00"
09/19/2022,"600.000,00","15.248.300,00"
09/16/2022,"-4.908.000,00","-79.203.000,00"
09/15/2022,"100.000,00","2.720.000,00"
09/14/2022,"-500.000,00","-10.256.100,00"
09/13/2022,"1.577.000,00","38.357.554,00"
09/12/2022,"1.053.000,00","62.654.355,00"
09/09/2022,"1.370.000,00","34.678.750,00"
09/08/2022,"1.050.000,00","81.148.000,00"
09/07/2022,"0,00","0,00"
09/06/2022,"98.000,00","7.271.600,00"
09/05/2022,"-1.729.900,00","-136.024.040,00"
08/31/2022,"-2.235.800,00","-105.905.320,00"
08/30/2022,"-115.184,00","-9.396.640,80"
08/29/2022,"-600.000,00","-29.187.600,00"
08/26/2022,"-100.000,00","-3.951.900,00"
08/25/2022,"4.325.000,00","50.015.580,00"
08/24/2022,"-90.100,00","69.991.927,40"
08/23/2022,"-514.710,00","16.270.072,90"
08/22/2022,"375.000,00","42.187.500,00"
08/19/2022,"-3.534.800,00","-43.281.000,00"
08/18/2022,"339.871,00","6.606.542,64"
08/17/2022,"0,00","0,00"
08/16/2022,"859.944,00","29.371.069,20"
08/15/2022,"1.179.927,00","110.288.710,50"
08/12/2022,"-100.000,00","-7.165.400,00"
08/11/2022,"1.179.960,00","28.375.884,00"
08/10/2022,"2.340.000,00","46.750.820,00"
08/09/2022,"-885.400,00","-30.535.518,50"
08/08/2022,"5.421.900,00","100.593.968,00"
08/05/2022,"5.058.139,00","6.285.076,80"
08/04/2022,"-8.720.060,00","-227.896.100,00"
08/03/2022,"-3.295.000,00","-17.604.100,00"
08/02/2022,"-7.600.000,00","-193.691.700,00"
08/01/2022,"660.000,00","11.609.160,00"
07/29/2022,"-2.091.400,00","-64.164.740,00"
07/28/2022,"5.300.000,00","344.500.000,00"
07/27/2022,"9.492.900,00","618.938.967,16"
07/26/2022,"2.700.000,00","1.875.800,00"
07/25/2022,"1.600.000,00","41.758.500,00"
07/22/2022,"1.359.455,00","36.019.078,95"
07/21/2022,"1.069.480,00","24.853.240,00"
07/20/2022,"1.167.960,00","11.219.007,12"
07/19/2022,"-1.040.140,00","-26.243.681,00"
07/18/2022,"150.000,00","-11.624.950,00"
07/15/2022,"-11.064.490,00","-318.597.285,00"
07/14/2022,"8.279.780,00","70.218.572,00"
07/13/2022,"-7.000.000,00","-204.400.000,00"
07/12/2022,"1.402.500,00","37.513.260,60"
07/11/2022,"600.000,00","15.446.000,00"
07/08/2022,"1.131.300,00","24.537.540,00"
07/07/2022,"1.100.000,00","26.423.900,00"
07/06/2022,"2.272.984,00","54.259.972,40"
07/05/2022,"5.179.941,00","89.753.458,30"
07/04/2022,"200.000,00","5.960.300,00"
07/01/2022,"235.400,00","-17.458.210,00"
06/30/2022,"54.834,00","6.466.253,60"
06/29/2022,"-3.595.040,00","-146.134.744,00"
06/28/2022,"855.500,00","52.378.625,00"
06/27/2022,"-150.000,00","-4.076.100,00"
06/24/2022,"240.000,00","33.114.500,00"
06/23/2022,"7.057.016,00","226.591.359,50"
06/22/2022,"0,00","0,00"
06/21/2022,"-615.000,00","-9.002.985,00"
06/20/2022,"-80.250,00","-1.248.718,50"
06/17/2022,"-320.060,00","-36.081.680,00"
06/16/2022,"-350.000,00","-5.564.650,00"
06/15/2022,"139.400,00","20.213.000,00"
06/14/2022,"0,00","0,00"
06/13/2022,"704.100,00","109.135.500,00"
06/10/2022,"23.100,00","686.070,00"
06/09/2022,"879.915,00","25.897.950,00"
06/08/2022,"1.729.700,00","34.328.710,00"
06/07/2022,"1.159.885,00","31.185.426,00"
06/06/2022,"2.279.998,00","64.816.448,00"
06/03/2022,"0,00","0,00"
06/02/2022,"194.917,00","24.498.778,26"
06/01/2022,"700.000,00","20.806.000,00"
05/31/2022,"8.509.843,00","237.188.401,70"
05/30/2022,"38.766.300,00","1.403.563.480,00"
05/27/2022,"3.402.500,00","82.369.600,00"
05/26/2022,"99.800,00","4.045.564,50"
05/25/2022,"-20.041,00","-694.420,65"
05/24/2022,"-120.242,00","-1.439.953,50"
05/23/2022,"1.460.054,00","35.558.102,80"
05/20/2022,"0,00","0,00"
05/19/2022,"-40.000,00","-4.080.000,00"
05/18/2022,"-520.020,00","-47.041.541,00"
05/17/2022,"0,00","0,00"
05/16/2022,"0,00","0,00"
05/13/2022,"21.257.936,00","580.391.713,80"
05/12/2022,"-20.006,00","-497.149,10"
05/11/2022,"716.000,00","42.521.995,00"
05/10/2022,"-1.740.112,00","-14.590.570,85"
05/09/2022,"-520.020,00","-13.769.494,00"
05/06/2022,"99.800,00","-26.111.650,00"
05/05/2022,"-500.000,00","-43.000.000,00"
05/04/2022,"-1.000.000,00","-47.900.000,00"
04/29/2022,"2.682.590,00","188.940.970,00"
04/28/2022,"329.300,00","6.487.210,00"
04/27/2022,"-80.200,00","-4.904.230,00"
04/26/2022,"-40.100,00","-5.184.000,00"
04/25/2022,"6.300.528,00","126.669.100,00"
04/22/2022,"1.373.000,00","17.927.500,00"
04/21/2022,"1.479.901,00","24.556.468,18"
04/20/2022,"-520.040,00","-10.836.064,00"
04/19/2022,"0,00","0,00"
04/18/2022,"3.010.000,00","73.411.050,00"
04/15/2022,"354.714,00","54.593.966,12"
04/14/2022,"0,00","0,00"
04/13/2022,"9.359.600,00","1.495.832.100,00"
04/12/2022,"4.310.050,00","105.928.265,00"
04/08/2022,"-330.024,00","-9.293.113,55"
04/07/2022,"-378.100,00","3.682.300,00"
04/06/2022,"107.700,00","13.074.780,00"
04/05/2022,"-1.000.000,00","-22.073.000,00"
04/04/2022,"1.089.400,00","50.579.226,30"
04/01/2022,"-798.546,00","-17.548.629,40"
03/31/2022,"-5.700,00","2.095.150,00"
03/30/2022,"1.537.700,00","56.873.772,10"
03/29/2022,"2.634.090,00","240.536.964,00"
03/28/2022,"-469.700,00","-38.078.900,00"
03/25/2022,"-500.000,00","-10.921.000,00"
03/24/2022,"-520.008,00","-12.457.602,40"
03/23/2022,"2.229.975,00","197.540.330,85"
03/22/2022,"1.416.900,00","91.248.500,00"
03/21/2022,"3.550.000,00","149.462.500,00"
03/18/2022,"-500.000,00","-15.000.000,00"
03/17/2022,"-252.900,00","-9.948.140,20"
03/16/2022,"-80.074,00","-10.797.220,48"
03/15/2022,"609.870,00","38.930.719,56"
03/14/2022,"-739.076,00","-13.283.742,98"
03/11/2022,"-1.020.000,00","-30.806.000,00"
03/10/2022,"-225.000,00","-11.208.500,00"
03/09/2022,"-1.680.276,00","-37.365.998,50"
03/08/2022,"-1.333.062,00","-40.624.674,90"
03/07/2022,"-2.750.000,00","-156.762.000,00"
03/04/2022,"14.334.900,00","574.319.762,40"
03/03/2022,"-1.354.096,00","-38.824.994,00"
03/02/2022,"0,00","0,00"
03/01/2022,"13.476.790,00","396.529.441,40"
02/28/2022,"4.910.900,00","138.421.736,70"
02/25/2022,"-80.025,00","-2.978.096,00"
02/24/2022,"3.120.000,00","180.960.000,00"
02/23/2022,"0,00","0,00"
02/22/2022,"500.000,00","5.012.000,00"
02/21/2022,"-300.000,00","-24.270.000,00"
02/18/2022,"209.600,00","7.237.068,80"
02/17/2022,"2.787.000,00","154.231.920,00"
02/16/2022,"350.000,00","9.014.780,00"
02/15/2022,"-2.000,00","10.091.600,00"
02/14/2022,"-20.038,00","-1.765.347,80"
02/11/2022,"-386.107,00","-5.913.890,15"
02/10/2022,"-1.000.000,00","-32.100.000,00"
02/09/2022,"-500.000,00","-38.650.000,00"
02/08/2022,"-20.099,00","-1.748.613,00"
02/07/2022,"-1.852.900,00","-48.990.902,80"
01/28/2022,"-290.000,00","-30.112.100,00"
01/27/2022,"-920.000,00","-81.756.000,00"
01/26/2022,"-1.252.300,00","-165.798.329,40"
01/25/2022,"1.885.000,00","7.414.850,00"
01/24/2022,"-891.020,00","-79.338.951,62"
01/21/2022,"-326.962,00","-55.011.501,40"
01/20/2022,"0,00","0,00"
01/19/2022,"-33.586.281,00","-4.797.251.294,00"
01/18/2022,"1.198.245,00","22.677.201,20"
01/17/2022,"1.959.901,00","68.247.829,60"
01/14/2022,"3.838.000,00","106.830.730,00"
01/13/2022,"200.600,00","16.922.327,60"
01/12/2022,"138.700,00","11.521.115,50"
01/11/2022,"0,00","0,00"
01/10/2022,"-104.025,00","-8.333.861,25"
01/07/2022,"-55.121,00","-5.875.734,40"
01/06/2022,"3.520.330,00","81.841.352,00"
01/05/2022,"-500.000,00","-90.950.000,00"
01/04/2022,"0,00","0,00"
12/31/2021,"0,00","0,00"
12/30/2021,"0,00","0,00"
12/29/2021,"100.000,00","5.500.000,00"
12/28/2021,"929.983,00","-41.803.370,85"
12/27/2021,"-750.000,00","-40.550.000,00"
12/24/2021,"600.000,00","54.372.000,00"
12/23/2021,"0,00","0,00"
12/22/2021,"279.953,00","26.809.899,29"
12/21/2021,"216.000,00","21.789.655,00"
12/20/2021,"-400.000,00","-48.150.000,00"
12/17/2021,"-355.000,00","-31.870.750,00"
12/16/2021,"-200.000,00","-25.600.000,00"
12/15/2021,"1.874.988,00","140.404.553,00"
12/14/2021,"305.950,00","15.158.430,70"
12/13/2021,"272.432,00","13.769.363,35"
12/10/2021,"100.000,00","5.650.000,00"
12/09/2021,"225.000,00","8.306.375,00"
12/08/2021,"47.477,00","23.832.050,94"
12/07/2021,"1.830.000,00","44.988.940,00"
12/06/2021,"0,00","3.768.000,00"
12/03/2021,"240.500,00","23.601.374,00"
12/02/2021,"150.000,00","8.700.000,00"
12/01/2021,"-120.056,00","18.010.566,40"
11/30/2021,"119.870,00","9.128.856,40"
11/29/2021,"1.140.000,00","125.547.440,00"
11/26/2021,"-5.660.000,00","-214.438.700,00"
11/25/2021,"-2.083.468,00","-142.156.812,99"
11/24/2021,"-1.900.000,00","-193.125.000,00"
11/23/2021,"2.017.429,00","29.021.231,80"
11/22/2021,"1.629.990,00","80.136.134,00"
11/19/2021,"2.136.843,00","117.900.676,30"
11/18/2021,"178.950,00","13.773.200,00"
11/17/2021,"4.804.984,00","146.744.390,43"
11/16/2021,"7.700.000,00","128.000.000,00"
11/15/2021,"7.243.000,00","230.162.640,00"
11/12/2021,"-190.000,00","951.450,00"
11/11/2021,"289.920,00","20.105.510,56"
11/10/2021,"-9.612.960,00","-363.884.452,00"
11/09/2021,"700.000,00","-21.900.000,00"
11/08/2021,"500.000,00","30.250.000,00"
11/05/2021,"346.000,00","25.822.500,00"
11/04/2021,"4.000.000,00","127.361.000,00"
11/03/2021,"2.083.600,00","74.516.705,50"
11/02/2021,"-3.517.100,00","-542.392.440,00"
11/01/2021,"500.000,00","29.250.000,00"
10/29/2021,"8.099.913,00","174.521.546,32"
10/28/2021,"220.000,00","9.000.500,00"
10/27/2021,"-492.584,00","-17.856.819,38"
10/26/2021,"-600.000,00","-32.610.000,00"
10/25/2021,"-3.145.700,00","-443.616.396,00"
