Ngày,Tổng KL mua (CP),Tổng GT mua (nghìn VND),Tổng KL bán (CP),Tổng GT bán (nghìn VND),Tổng KL ròng (CP),Tổng GT ròng (nghìn VND)
06/14/2024,73.917.543,"2.198.800.787,47",54.106.269,"1.594.720.108,41",19.811.274,"604.080.679,06"
06/13/2024,65.226.101,"2.182.965.389,86",44.906.933,"1.315.746.252,47",20.319.168,"867.219.137,39"
06/12/2024,85.925.901,"2.466.843.670,10",76.305.318,"2.265.454.668,85",9.620.583,"201.389.001,25"
06/11/2024,64.261.655,"2.126.820.563,57",45.428.397,"1.483.359.114,10",18.833.258,"643.461.449,47"
06/10/2024,48.280.858,"1.360.663.346,63",41.122.586,"1.302.497.273,26",7.158.272,"58.166.073,37"
06/07/2024,32.736.097,"1.004.400.841,94",36.244.670,"1.274.111.368,98",-3.508.573,"-269.710.527,04"
06/06/2024,46.428.218,"1.322.809.648,97",58.372.209,"1.739.056.318,44",-11.943.991,"-416.246.669,47"
06/05/2024,62.575.237,"1.910.077.624,61",77.780.748,"2.162.606.436,27",-15.205.511,"-252.528.811,66"
06/04/2024,47.734.232,"1.520.148.782,45",68.689.360,"2.304.281.045,96",-20.955.128,"-784.132.263,51"
06/03/2024,63.413.625,"1.856.705.557,80",62.640.443,"1.820.771.903,01",773.182,"35.933.654,79"
05/31/2024,41.787.512,"1.216.473.682,80",89.773.694,"1.731.969.497,70",-47.986.182,"-515.495.814,90"
05/30/2024,56.759.279,"1.562.083.997,88",58.294.454,"1.680.562.402,88",-1.535.175,"-118.478.405,00"
05/29/2024,53.098.822,"1.445.739.232,12",68.188.444,"2.070.809.251,12",-15.089.622,"-625.070.019,00"
05/28/2024,55.408.995,"1.394.252.095,19",61.688.903,"1.671.421.184,17",-6.279.908,"-277.169.088,98"
05/27/2024,53.628.554,"1.424.685.772,31",74.346.133,"1.866.979.104,92",-20.717.579,"-442.293.332,61"
05/24/2024,83.645.566,"2.276.932.558,04",124.525.164,"3.543.095.802,30",-40.879.598,"-1.266.163.244,26"
05/23/2024,47.487.617,"1.513.739.146,55",50.742.614,"1.716.927.144,27",-3.254.997,"-203.187.997,72"
05/22/2024,95.613.116,"2.665.018.719,89",99.538.238,"2.603.390.617,93",-3.925.122,"61.628.101,96"
05/21/2024,63.847.851,"1.797.093.949,10",82.728.970,"2.270.361.192,60",-18.881.119,"-473.267.243,50"
05/20/2024,127.253.471,"2.781.472.817,05",127.854.553,"2.767.379.538,44",-601.082,"14.093.278,61"
05/17/2024,48.052.820,"1.457.363.918,00",61.261.081,"1.777.999.879,64",-13.208.261,"-320.635.961,64"
05/16/2024,69.329.142,"2.377.103.421,45",62.941.239,"2.074.861.281,74",6.387.903,"302.242.139,71"
05/15/2024,54.323.114,"1.603.769.810,29",63.046.660,"1.787.026.546,05",-8.723.546,"-183.256.735,76"
05/14/2024,50.676.346,"1.162.161.483,00",46.056.512,"1.243.321.228,25",4.619.834,"-81.159.745,25"
05/13/2024,45.060.294,"1.192.971.706,15",42.832.394,"1.189.196.346,30",2.227.900,"3.775.359,85"
05/10/2024,30.443.511,"987.405.330,90",42.899.809,"1.276.614.945,80",-12.456.298,"-289.209.614,90"
05/09/2024,42.786.505,"1.276.571.506,98",38.143.513,"1.129.555.892,85",4.642.992,"147.015.614,13"
05/08/2024,45.740.820,"1.372.754.900,57",63.017.713,"1.954.217.960,32",-17.276.893,"-581.463.059,75"
05/07/2024,75.173.118,"2.429.844.955,56",65.082.575,"2.328.969.992,80",10.090.543,"100.874.962,76"
05/06/2024,72.828.323,"1.993.449.182,55",52.874.751,"1.690.415.207,06",19.953.572,"303.033.975,49"
05/03/2024,84.515.847,"2.766.150.671,26",74.016.155,"2.594.410.508,35",10.499.692,"171.740.162,91"
05/02/2024,43.316.907,"1.356.081.490,55",41.180.741,"1.418.722.417,00",2.136.166,"-62.640.926,45"
04/26/2024,38.381.577,"1.147.435.737,88",37.476.281,"1.280.461.813,28",905.296,"-133.026.075,40"
04/25/2024,42.258.072,"1.243.907.018,08",56.193.261,"1.821.684.838,99",-13.935.189,"-577.777.820,91"
04/24/2024,86.464.372,"2.514.058.789,50",39.894.149,"1.489.795.128,07",46.570.223,"1.024.263.661,43"
04/23/2024,63.448.398,"1.673.535.777,10",84.027.111,"2.500.757.113,34",-20.578.713,"-827.221.336,24"
04/22/2024,74.083.448,"2.008.419.199,70",40.964.730,"1.276.806.663,60",33.118.718,"731.612.536,10"
04/19/2024,71.731.838,"2.136.003.846,50",39.238.200,"1.198.709.922,00",32.493.638,"937.293.924,50"
04/17/2024,62.657.570,"1.948.580.376,00",61.756.118,"1.677.838.372,70",901.452,"270.742.003,30"
04/16/2024,126.969.038,"3.396.950.936,45",88.211.939,"2.240.447.077,16",38.757.099,"1.156.503.859,29"
04/15/2024,89.442.098,"2.587.864.823,50",61.292.455,"1.593.654.723,15",28.149.643,"994.210.100,35"
04/12/2024,50.242.486,"1.441.005.994,05",45.934.290,"1.320.762.099,93",4.308.196,"120.243.894,12"
04/11/2024,45.116.165,"1.492.171.524,50",37.262.960,"1.009.555.811,39",7.853.205,"482.615.713,11"
04/10/2024,52.059.155,"1.251.216.170,12",81.305.986,"2.118.063.798,80",-29.246.831,"-866.847.628,68"
04/09/2024,48.574.190,"1.337.281.751,75",49.184.346,"1.582.839.331,65",-610.156,"-245.557.579,90"
04/08/2024,44.824.270,"1.141.395.424,50",60.455.587,"1.740.969.423,75",-15.631.317,"-599.573.999,25"
04/05/2024,58.789.474,"1.772.521.399,60",51.453.482,"1.422.786.550,65",7.335.992,"349.734.848,95"
04/04/2024,72.770.460,"2.103.138.267,10",49.231.217,"1.405.271.131,10",23.539.243,"697.867.136,00"
04/03/2024,38.468.321,"1.133.263.421,30",81.866.587,"2.498.283.676,90",-43.398.266,"-1.365.020.255,60"
04/02/2024,55.499.633,"1.712.963.605,85",62.255.408,"2.090.055.621,75",-6.755.775,"-377.092.015,90"
04/01/2024,46.261.142,"1.460.153.497,30",62.694.928,"1.377.261.390,70",-16.433.786,"82.892.106,60"
03/29/2024,48.820.300,"1.407.512.609,25",66.841.462,"1.928.715.686,55",-18.021.162,"-521.203.077,30"
03/28/2024,53.490.716,"1.656.790.304,50",67.862.368,"1.819.540.050,75",-14.371.652,"-162.749.746,25"
03/27/2024,56.425.126,"1.927.575.632,90",57.315.785,"1.635.863.918,20",-890.659,"291.711.714,70"
03/26/2024,46.608.496,"1.245.343.573,10",69.375.800,"1.762.341.756,85",-22.767.304,"-516.998.183,75"
03/25/2024,53.718.859,"1.367.549.944,95",85.326.513,"2.310.474.327,15",-31.607.654,"-942.924.382,20"
03/22/2024,50.256.944,"1.715.865.297,90",72.493.565,"2.122.810.553,50",-22.236.621,"-406.945.255,60"
03/21/2024,98.676.503,"3.088.536.444,25",63.064.702,"1.692.494.586,39",35.611.801,"1.396.041.857,86"
03/20/2024,62.867.536,"1.963.286.282,20",61.148.215,"2.005.780.110,09",1.719.321,"-42.493.827,89"
03/19/2024,57.724.868,"1.618.411.842,00",85.008.693,"2.559.372.877,90",-27.283.825,"-940.961.035,90"
03/18/2024,115.955.223,"3.623.149.557,90",67.542.817,"1.878.383.078,35",48.412.406,"1.744.766.479,55"
03/15/2024,48.448.794,"1.595.105.064,76",41.321.832,"1.225.857.805,60",7.126.962,"369.247.259,16"
